source_ip,total_packet_count,unique_dest_ports,protocol_diversity,avg_packet_length,max_packet_length,syn_ratio,ack_ratio,fin_ratio,rst_ratio,psh_ratio,avg_conn_rate,max_conn_rate,session_duration,packets_per_second,proto_tcp_pct,proto_vnc_pct,proto_tlsv12_pct,proto_sshv2_pct,proto_dns_pct,proto_tds_pct,proto_telnet_pct,proto_http_pct,dominant_protocol,dominant_dest_port
23.129.64.132,11,1,2,69.36363636363636,82.0,0.09090909090909091,0.6363636363636364,0.09090909090909091,0.0,0.0,6.0,11.0,1.6271420000011858,6.760319627907081,72.72727272727273,27.27272727272727,0.0,0.0,0.0,0.0,0.0,0.0,TCP,5900.0
47.236.31.114,1966,1,2,139.96846388606306,714.0,0.06307222787385554,0.5010172939979655,0.06256358087487283,0.000508646998982706,0.0,78.76958290946084,101.0,4703.5496539999995,0.41798219315662405,56.408952187182095,0.0,0.0,43.591047812817905,0.0,0.0,0.0,0.0,TCP,22.0
176.97.210.61,78,1,2,68.23076923076923,74.0,0.15384615384615385,0.6923076923076923,0.07692307692307693,0.07692307692307693,0.0,5.230769230769231,11.0,36122.712058,0.0021593063077534223,84.61538461538461,0.0,0.0,0.0,0.0,0.0,15.384615384615385,0.0,TCP,23.0
42.117.97.96,9,1,1,67.77777777777777,74.0,0.2222222222222222,0.7777777777777778,0.1111111111111111,0.1111111111111111,0.0,5.0,9.0,31.970839000001433,0.2815065316240089,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TCP,23.0
51.159.23.43,27,2,2,431.3333333333333,1514.0,0.07407407407407407,0.6296296296296297,0.1111111111111111,0.0,0.0,14.0,27.0,0.3346050000109244,80.69215940920932,62.96296296296296,0.0,37.03703703703704,0.0,0.0,0.0,0.0,0.0,TCP,42872.0
23.155.24.7,11,1,2,69.36363636363636,82.0,0.09090909090909091,0.6363636363636364,0.09090909090909091,0.0,0.0,6.0,11.0,1.7978320000038366,6.118480480921758,72.72727272727273,27.27272727272727,0.0,0.0,0.0,0.0,0.0,0.0,TCP,5900.0
45.128.232.147,4,1,1,68.0,74.0,0.25,0.75,0.0,0.25,0.0,2.5,4.0,5.000651000002108,0.7998958535595293,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TCP,22.0
45.179.145.73,9,1,1,67.77777777777777,74.0,0.2222222222222222,0.7777777777777778,0.1111111111111111,0.1111111111111111,0.0,5.0,9.0,31.11812700000155,0.28922049196597055,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TCP,23.0
45.55.0.17,10,1,1,70.3,93.0,0.2,0.8,0.1,0.1,0.1,3.1,6.0,266.35470700000224,0.03754392070871087,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TCP,3306.0
62.122.184.113,5,1,1,67.6,74.0,0.2,0.8,0.2,0.0,0.0,3.0,5.0,0.3099450000008801,16.13189436830987,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TCP,3306.0
